Date and Time:                Mon May 26 12:31:36.898 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200


696.99353	115
697.03003	88
697.06653	129
697.10303	104
697.13953	93
697.17596	61
697.21246	95
697.24896	97
697.28546	112
697.32196	111
697.35846	108
697.3949	102
697.4314	123
697.4679	93
697.50433	76
697.54083	92
697.57733	94
697.61377	83
697.65027	100
697.68677	109
697.72321	101
697.7597	101
697.79614	85
697.83264	98
697.86908	90
697.90558	103
697.94202	86
697.97852	114
698.01495	102
698.05145	83
698.08789	88
698.12433	98
698.16083	99
698.19727	84
698.2337	88
698.27014	102
698.30664	108
698.34308	85
698.37952	94
698.41595	87
698.45239	104
698.48889	79
698.52533	93
698.56177	89
698.59821	100
698.63464	92
698.67108	93
698.70752	101
698.74396	95
698.7804	83
698.81683	77
698.85327	105
698.88971	84
698.92615	69
698.96259	91
698.99896	111
699.0354	110
699.07184	71
699.10828	90
699.14471	110
699.18109	108
699.21753	95
699.25397	81
699.29034	112
699.32678	86
699.36322	94
699.3996	100
699.43604	127
699.47247	108
699.50885	89
699.54529	101
699.58167	111
699.6181	107
699.65448	84
699.69092	77
699.72729	106
699.76367	95
699.80011	109
699.83649	98
699.87292	114
699.9093	106
699.94568	88
699.98206	108
700.01849	109
700.05487	90
700.09125	91
700.12762	102
700.16406	115
700.20044	123
700.23682	99
700.27319	91
700.30957	115
700.34595	115
700.38232	92
700.4187	86
700.45508	116
700.49146	112
700.52783	114
700.56421	94
700.60059	108
700.63696	107
700.67334	90
700.70972	109
700.74609	101
700.78247	109
700.81879	89
700.85516	92
700.89154	116
700.92792	108
700.96423	111
701.00061	102
701.03699	105
701.0733	104
701.10968	83
701.14606	113
701.18237	121
701.21875	115
701.25507	100
701.29144	120
701.32776	141
701.36414	125
701.40045	129
701.43683	121
701.47314	136
701.50952	133
701.54584	97
701.58215	105
701.61853	124
701.65485	108
701.69116	102
701.72754	114
701.76385	124
701.80017	104
701.83649	104
701.87286	109
701.90918	118
701.9455	114
701.98181	93
702.01813	105
702.05444	118
702.09076	119
702.12708	99
702.16339	96
702.19971	101
702.23602	117
702.27234	89
702.30865	122
702.34497	121
702.38129	138
702.4176	111
702.45392	108
702.49023	108
702.52649	128
702.56281	109
702.59912	117
702.63544	138
702.67169	137
702.70801	107
702.74432	118
702.78064	123
702.81689	131
702.85321	118
702.88947	118
702.92578	139
702.9621	112
702.99835	138
703.03467	107
703.07092	134
703.10724	126
703.14349	132
703.17975	138
703.21606	160
703.25232	164
703.28864	135
703.32489	124
703.36115	154
703.39746	135
703.43372	140
703.46997	128
703.50623	157
703.54254	148
703.5788	130
703.61505	140
703.65131	152
703.68756	137
703.72382	143
703.76007	131
703.79633	146
703.83264	139
703.8689	143
703.90515	127
703.94141	162
703.9776	149
704.01385	138
704.05011	134
704.08636	140
704.12262	142
704.15887	126
704.19513	134
704.23138	135
704.26758	130
704.30383	144
704.34009	136
704.37634	142
704.41254	154
704.44879	130
704.48505	139
704.52124	165
704.5575	160
704.59369	149
704.62994	155
704.6662	164
704.70239	173
704.73865	169
704.77484	162
704.8111	172
704.84729	177
704.88348	159
704.91974	162
704.95593	169
704.99219	162
705.02838	166
705.06458	159
705.10083	170
705.13702	180
705.17322	180
705.20941	175
705.24561	168
705.28186	173
705.31805	167
705.35425	166
705.39044	168
705.42664	194
705.46283	174
705.49902	160
705.53522	171
705.57141	181
705.6076	161
705.6438	163
705.67999	175
705.71619	176
705.75238	153
705.78857	157
705.82477	167
705.86096	167
705.89709	149
705.93329	145
705.96948	186
706.00568	182
706.04187	177
706.078	168
706.1142	170
706.15039	151
706.18652	162
706.22272	162
706.25885	201
706.29504	181
706.33124	174
706.36737	153
706.40356	174
706.4397	165
706.47589	166
706.51202	150
706.54816	181
706.58435	186
706.62048	173
706.65668	164
706.69281	170
706.72894	194
706.76514	174
706.80127	178
706.8374	188
706.87354	180
706.90967	187
706.94586	177
706.98199	189
707.01813	185
707.05426	167
707.09039	174
707.12653	195
707.16266	177
707.19879	179
707.23492	188
707.27106	204
707.30719	188
707.34332	207
707.37946	197
707.41559	205
707.45172	194
707.48785	183
707.52399	172
707.56006	177
707.59619	186
707.63232	187
707.66846	160
707.70453	186
707.74066	163
707.77679	173
707.81293	165
707.849	198
707.88513	173
707.9212	164
707.95734	154
707.99341	166
708.02954	168
708.06561	160
708.10175	158
708.13782	164
708.17395	170
708.21002	157
708.24615	147
708.28223	155
708.3183	160
708.35443	153
708.3905	153
708.42657	178
708.46271	176
708.49878	154
708.53485	131
708.57092	155
708.60699	161
708.64313	134
