Date and Time:                Mon May 26 09:39:38.863 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200


696.19025	152
696.22681	163
696.26331	156
696.29987	127
696.33636	131
696.37286	139
696.40942	128
696.44592	107
696.48242	133
696.51892	139
696.55548	132
696.59198	105
696.62848	115
696.66498	121
696.70148	108
696.73798	104
696.77454	116
696.81104	126
696.84753	104
696.88403	86
696.92053	101
696.95703	93
696.99353	81
697.03003	77
697.06653	77
697.10303	93
697.13953	71
697.17596	62
697.21246	87
697.24896	94
697.28546	60
697.32196	68
697.35846	72
697.3949	73
697.4314	68
697.4679	56
697.50433	76
697.54083	66
697.57733	64
697.61377	60
697.65027	71
697.68677	73
697.72321	64
697.7597	52
697.79614	69
697.83264	80
697.86908	67
697.90558	49
697.94202	66
697.97852	73
698.01495	81
698.05145	46
698.08789	48
698.12433	62
698.16083	62
698.19727	48
698.2337	73
698.27014	63
698.30664	61
698.34308	34
698.37952	47
698.41595	68
698.45239	62
698.48889	39
698.52533	55
698.56177	68
698.59821	35
698.63464	45
698.67108	37
698.70752	73
698.74396	42
698.7804	26
698.81683	35
698.85327	37
698.88971	44
698.92615	32
698.96259	52
698.99896	65
699.0354	49
699.07184	41
699.10828	41
699.14471	51
699.18109	32
699.21753	29
699.25397	33
699.29034	63
699.32678	37
699.36322	49
699.3996	36
699.43604	58
699.47247	37
699.50885	39
699.54529	53
699.58167	49
699.6181	31
699.65448	29
699.69092	43
699.72729	55
699.76367	40
699.80011	24
699.83649	44
699.87292	63
699.9093	34
699.94568	29
699.98206	36
700.01849	60
700.05487	36
700.09125	49
700.12762	40
700.16406	58
700.20044	41
700.23682	9
700.27319	41
700.30957	65
700.34595	37
700.38232	19
700.4187	45
700.45508	61
700.49146	35
700.52783	17
700.56421	32
700.60059	53
700.63696	21
700.67334	26
700.70972	36
700.74609	41
700.78247	30
700.81879	32
700.85516	34
700.89154	50
700.92792	30
700.96423	22
701.00061	36
701.03699	56
701.0733	25
701.10968	17
701.14606	51
701.18237	35
701.21875	28
701.25507	19
701.29144	43
701.32776	47
701.36414	32
701.40045	32
701.43683	36
701.47314	42
701.50952	28
701.54584	27
701.58215	27
701.61853	35
701.65485	34
701.69116	25
701.72754	28
701.76385	45
701.80017	30
701.83649	25
701.87286	45
701.90918	59
701.9455	47
701.98181	39
702.01813	42
702.05444	38
702.09076	39
702.12708	35
702.16339	45
702.19971	47
702.23602	35
702.27234	34
702.30865	39
702.34497	46
702.38129	28
702.4176	35
702.45392	49
702.49023	43
702.52649	37
702.56281	25
702.59912	37
702.63544	51
702.67169	31
702.70801	30
702.74432	40
702.78064	49
702.81689	35
702.85321	25
702.88947	41
702.92578	56
702.9621	27
702.99835	44
703.03467	47
703.07092	63
703.10724	32
703.14349	18
703.17975	49
703.21606	49
703.25232	42
703.28864	32
703.32489	49
703.36115	64
703.39746	38
703.43372	34
703.46997	52
703.50623	54
703.54254	45
703.5788	32
703.61505	58
703.65131	66
703.68756	47
703.72382	27
703.76007	53
703.79633	65
703.83264	43
703.8689	47
703.90515	60
703.94141	51
703.9776	53
704.01385	52
704.05011	63
704.08636	66
704.12262	67
704.15887	44
704.19513	62
704.23138	73
704.26758	69
704.30383	38
704.34009	77
704.37634	70
704.41254	63
704.44879	46
704.48505	74
704.52124	58
704.5575	59
704.59369	59
704.62994	53
704.6662	78
704.70239	63
704.73865	71
704.77484	63
704.8111	71
704.84729	67
704.88348	61
704.91974	78
704.95593	79
704.99219	67
705.02838	50
705.06458	86
705.10083	80
705.13702	78
705.17322	46
705.20941	78
705.24561	85
705.28186	66
705.31805	57
705.35425	80
705.39044	93
705.42664	75
705.46283	72
705.49902	91
705.53522	98
705.57141	84
705.6076	64
705.6438	70
705.67999	111
705.71619	70
705.75238	72
705.78857	97
705.82477	93
705.86096	75
705.89709	70
705.93329	99
705.96948	87
706.00568	83
706.04187	64
706.078	84
706.1142	100
706.15039	89
706.18652	66
706.22272	88
706.25885	99
706.29504	84
706.33124	78
706.36737	88
706.40356	96
